"","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10"
"ZKFV71L-02",6.27622692070476,7.36650573583975,-6.36625392992526,-3.09002020685168,0.307078363780368,-1.26121495692691,-2.35060989017362,-5.16321742096684,-7.68972791489038,5.80540809198855
"ZKFV71L-05",4.79595777537161,2.79438026966317,-2.3096712642305,1.65118189741959,2.52917497431746,2.42011068179722,-1.42554386785727,-2.64796426800143,-5.06731954738298,6.35549526290352
"ZKFV71L-07",7.10068597781505,7.39880692625564,-6.08103919759443,-1.47903256921187,-1.75239719922746,-1.28702032190789,-4.20936470507614,-5.57868753679109,-7.97783128943781,7.34709490221045
"ZKFV71L-09",5.89280797868894,-1.48930264097136,-0.279139941233029,-4.0335904408687,-4.52740609271675,-0.734352176523964,-0.452472306121039,-2.00965888983379,-4.51841855650913,2.2115895710188
"ZKFV71L-12",4.66582786934371,2.35100032609234,-0.58178091155474,4.37022245597812,3.88525928027449,5.67819742291429,-0.57691351927368,0.58200399692568,-5.98331292873324,7.11818791464748
"ZKFV71L-2011",5.37476831307415,2.18473620844567,-2.66420128632486,-3.21333439040897,-2.10215449162631,-0.150545097132774,-1.81967129666947,-3.93028585784056,-5.83837556793412,5.40952984252306
"ZKFV71L-2012",4.11295705639199,1.04864775019534,-2.57170778863084,-2.04698844744039,-1.89468737163261,2.28196492561387,-1.92683903569104,-4.55788330994437,-4.82511532362728,3.65910960233107
"ZKFV71L-2013",4.89067438072595,5.59482267834087,-4.55773628704158,-3.4170381474094,-0.503359889809761,-0.18834185338031,-2.4951027519863,-3.00796326307714,-9.50628598538261,6.87682988115487
"ZKFV71L-2014",5.58272390651607,6.75725043904171,-5.51836394364536,-4.53141449163831,-1.91310267248258,-0.300008733403044,-3.82271545130301,-5.34198696977299,-6.11736182009714,7.19975031622644
"ZKFV71L-2015",5.48763049937454,5.03484065406975,-5.64738931794308,-4.53834728547666,-0.575185669680371,-0.106314786888247,-3.39050229781912,-4.24863355036706,-5.64288944463237,3.91591899261146
"ZKFV71L-2023",2.01649754619843,-2.21510386653616,-5.34587661476969,6.47649257653922,2.58044381981573,7.28119731833964,-1.89670580239501,-4.98784690175442,2.73345702180064,3.38869522887019
"ZKFV71L-6011",4.67912016698677,1.20757075801644,-1.43466335883821,2.28205509232485,-0.115589078415288,0.794867019495935,0.328888060778868,-3.82502694136179,-7.15656120749479,8.75797412877042
"ZKFV71L-6021",4.45027618243352,6.04479209638378,-5.3859462712676,-2.19501221580026,-2.26143408188896,0.728289509352238,-1.23707321318081,-5.97987816066045,-5.26260430244575,7.15836370203952
"ZKVR426-02",5.38984093994092,6.87067068142947,-6.64041722449952,-1.00335179692535,1.6636162956346,2.26626997240848,-2.38058763084834,-0.31145656610202,-5.34633595624892,4.59192474627803
"ZKVR426-03",5.41266628033864,-1.04047807560519,-0.355576935046747,11.3596293959405,6.0112499631719,8.65201428128596,1.75117737097132,7.97326622458836,-2.07705578528975,3.60641513165285
"ZKVR426-04",4.88226288743271,8.00898295788847,-5.24299433709821,-0.946252252610919,-1.6293658375652,0.0521281610282356,0.832608533873907,0.191251128719901,-6.28970792036605,5.86342644687865
"ZKVR426-06",5.50181603669659,4.58168886777825,-5.06409294499475,2.20689220670316,2.54842334864467,4.14393938308337,-0.500308254712934,3.06015214962465,-5.49735344284199,5.15247737398445
"ZKVR426-07",5.15730621170815,9.68246290117102,-6.05626209729662,-1.77045395747242,0.291035421215513,0.478067998339525,-0.31511505149581,0.247520340200569,-8.82652149347251,7.90742348252535
"ZKVR426-09",4.54952399199425,9.25417823309598,-5.73507485847386,1.04562562800727,1.13809088619087,1.84674606688864,-0.720409549791807,1.37212955572775,-8.99064683795456,4.97944260603323
"ZKVR426-10",3.29970300263671,5.09746404769697,-3.36769306021936,1.57450051774591,-2.04958397109706,2.93432589065922,1.48754653435248,-0.363598504846912,-6.46850316566351,4.02494867288579
"ZKVR426-1012",4.18852078681713,6.32432120062729,-2.1707715308179,2.36610689330441,2.39048899569717,0.0330237381303972,3.06061367681417,3.43973686377944,4.96209311321569,-0.186524907526237
"ZKVR426-1013",3.53037394341931,7.79687726029897,-5.32864324598962,-0.7737776047004,2.23109188316992,0.645055676920923,-2.13020493525031,0.549306382997509,0.00982600926832248,0.775337775386129
"ZKVR426-1015",5.31954208603838,11.1437063816422,-7.39594356212506,-2.2198879203952,0.688284840172648,-0.952581867796425,-1.07805465287699,-2.35850097898443,-7.33597535240175,6.57965880940966
"ZKVR426-11",6.23145548000922,2.49925913020772,-3.98003073645369,3.87783011317521,2.95801747108842,4.24500141921583,-0.265795665810802,4.96994308355854,-6.75284069962033,5.92244751661064
"ZKVR426-13",4.43271192492042,1.59130768542691,-3.71527415582743,2.72098112085405,1.99060400346025,3.40247161657034,-0.708995764458097,3.10614624764716,-4.89784857905743,2.5715862110712
"ZKVR426-14",2.87333820722462,5.49259429298993,-6.9871750453376,0.533224755243299,1.85598275053267,2.76937460085299,-3.45261212845953,2.88738804197971,-0.708286103306932,-0.306244813919814
